"id","duration_(m)","max_break_(m)","break_between_blocks_(m)","practice_1","practice_2","acc_catch","mean_rt_(s)","alignment_rate","congruency_order","left_hand_color","browser","age","sex","valid_data","n"
"quake-e4f7","<span style=""     color: #9C964A !important;"" >22</span>","<span style=""     color: #9C964A !important;"" >1.671</span>","<span style=""     color: #9C964A !important;"" >0.172</span>","<span style=""     color: #9C964A !important;"" >0.9</span>","<span style=""     color: #9C964A !important;"" >0.9</span>","<span style=""     color: #9C964A !important;"" >0.969</span>","<span style=""     color: #9C964A !important;"" >2.584</span>",0.667,"IC block first","orange","<span style=""     color: #9C964A !important;"" >Chrome</span>",46,"Female",TRUE,160
"limb-09040","<span style=""     color: #85D4E3 !important;"" >48</span>","<span style=""     color: #85D4E3 !important;"" >24.466</span>","<span style=""     color: #9C964A !important;"" >0.172</span>","<span style=""     color: #9C964A !important;"" >0.7</span>","<span style=""     color: #9C964A !important;"" >0.9</span>","<span style=""     color: #9C964A !important;"" >1</span>","<span style=""     color: #9C964A !important;"" >1.984</span>",0.729,"IC block first","orange","<span style=""     color: #9C964A !important;"" >Chrome</span>",28,"Male",TRUE,159
"mule-e4dff","<span style=""     color: #9C964A !important;"" >22</span>","<span style=""     color: #9C964A !important;"" >3.116</span>","<span style=""     color: #9C964A !important;"" >3.116</span>","<span style=""     color: #9C964A !important;"" >0.8</span>","<span style=""     color: #9C964A !important;"" >0.8</span>","<span style=""     color: #9C964A !important;"" >0.906</span>","<span style=""     color: #9C964A !important;"" >1.541</span>",0.552,"IC block first","blue","<span style=""     color: #9C964A !important;"" >Firefox</span>",42,"Male",TRUE,158
"brook-3260","<span style=""     color: #9C964A !important;"" >19</span>","<span style=""     color: #9C964A !important;"" >0.753</span>","<span style=""     color: #9C964A !important;"" >0.116</span>","<span style=""     color: #9C964A !important;"" >1</span>","<span style=""     color: #9C964A !important;"" >1</span>","<span style=""     color: #9C964A !important;"" >0.938</span>","<span style=""     color: #9C964A !important;"" >1.776</span>",0.542,"IC block first","orange","<span style=""     color: #9C964A !important;"" >Chrome</span>",41,"Female",TRUE,157
"bask-22c9b","<span style=""     color: #9C964A !important;"" >23</span>","<span style=""     color: #9C964A !important;"" >0.584</span>","<span style=""     color: #9C964A !important;"" >0.322</span>","<span style=""     color: #9C964A !important;"" >1</span>","<span style=""     color: #9C964A !important;"" >1</span>","<span style=""     color: #9C964A !important;"" >1</span>","<span style=""     color: #9C964A !important;"" >2.13</span>",0.552,"C block first","blue","<span style=""     color: #9C964A !important;"" >Chrome</span>",25,"Male",TRUE,156
"shut-198bd","<span style=""     color: #9C964A !important;"" >21</span>","<span style=""     color: #9C964A !important;"" >0.797</span>","<span style=""     color: #9C964A !important;"" >0.131</span>","<span style=""     color: #9C964A !important;"" >0.9</span>","<span style=""     color: #9C964A !important;"" >1</span>","<span style=""     color: #9C964A !important;"" >0.938</span>","<span style=""     color: #9C964A !important;"" >1.995</span>",0.552,"IC block first","orange","<span style=""     color: #9C964A !important;"" >Chrome</span>",33,"Female",TRUE,155
"dingy-9ebf","<span style=""     color: #9C964A !important;"" >18</span>","<span style=""     color: #9C964A !important;"" >0.572</span>","<span style=""     color: #9C964A !important;"" >0.111</span>","<span style=""     color: #9C964A !important;"" >0.9</span>","<span style=""     color: #9C964A !important;"" >1</span>","<span style=""     color: #9C964A !important;"" >1</span>","<span style=""     color: #9C964A !important;"" >2.227</span>",0.604,"IC block first","blue","<span style=""     color: #9C964A !important;"" >Firefox</span>",36,"Female",TRUE,154
"year-c4373","<span style=""     color: #9C964A !important;"" >23</span>","<span style=""     color: #9C964A !important;"" >0.85</span>","<span style=""     color: #9C964A !important;"" >0.169</span>","<span style=""     color: #9C964A !important;"" >0.9</span>","<span style=""     color: #9C964A !important;"" >1</span>","<span style=""     color: #9C964A !important;"" >0.969</span>","<span style=""     color: #9C964A !important;"" >2.722</span>",0.51,"IC block first","blue","<span style=""     color: #9C964A !important;"" >Chrome</span>",48,"Female",TRUE,153
"mold-73946","<span style=""     color: #9C964A !important;"" >18</span>","<span style=""     color: #9C964A !important;"" >0.318</span>","<span style=""     color: #9C964A !important;"" >0.294</span>","<span style=""     color: #9C964A !important;"" >0.8</span>","<span style=""     color: #9C964A !important;"" >1</span>","<span style=""     color: #9C964A !important;"" >1</span>","<span style=""     color: #9C964A !important;"" >1.706</span>",0.562,"IC block first","blue","<span style=""     color: #9C964A !important;"" >Firefox</span>",34,"Female",TRUE,152
"graph-cf06","<span style=""     color: #9C964A !important;"" >23</span>","<span style=""     color: #9C964A !important;"" >1.832</span>","<span style=""     color: #9C964A !important;"" >1.832</span>","<span style=""     color: #9C964A !important;"" >0.8</span>","<span style=""     color: #9C964A !important;"" >1</span>","<span style=""     color: #9C964A !important;"" >1</span>","<span style=""     color: #9C964A !important;"" >2.245</span>",0.729,"IC block first","blue","<span style=""     color: #9C964A !important;"" >Chrome</span>",42,"Male",TRUE,151
